"id","message_body","channel","prior_auto_replies","expected_action","expected_rule","note"
"opt_out_01","stop","sms","0","suppress_and_stop","opt_out","carrier opt-out keyword, whole message"
"opt_out_02","STOP.","sms","0","suppress_and_stop","opt_out","carrier opt-out keyword, whole message"
"opt_out_03","Stop!","sms","0","suppress_and_stop","opt_out","carrier opt-out keyword, whole message"
"opt_out_04"," sto p ","sms","0","suppress_and_stop","opt_out","whitespace-scattered STOP still matches (despaced comparison)"
"opt_out_05","s t o p","sms","0","suppress_and_stop","opt_out","fully scattered letters"
"opt_out_06","stopp","sms","0","suppress_and_stop","opt_out","edit distance 1 (insertion)"
"opt_out_07","stap","sms","0","suppress_and_stop","opt_out","edit distance 1 (substitution)"
"opt_out_08","sttop","sms","0","suppress_and_stop","opt_out","edit distance 1 (insertion)"
"opt_out_09","ѕtop","sms","0","suppress_and_stop","opt_out","Cyrillic dze homoglyph for s"
"opt_out_10","STOPALL","sms","0","suppress_and_stop","opt_out","carrier opt-out keyword, whole message"
"opt_out_11","unsubscribe","sms","0","suppress_and_stop","opt_out","carrier opt-out keyword, whole message"
"opt_out_12","UNSUBSCRIBE!!","sms","0","suppress_and_stop","opt_out","carrier opt-out keyword, whole message"
"opt_out_13","Un-subscribe","sms","0","suppress_and_stop","opt_out","punctuation inside keyword"
"opt_out_14","cancel","sms","0","suppress_and_stop","opt_out","carrier opt-out keyword, whole message"
"opt_out_15","END","sms","0","suppress_and_stop","opt_out","carrier opt-out keyword, whole message"
"opt_out_16","quit","sms","0","suppress_and_stop","opt_out","carrier opt-out keyword, whole message"
"opt_out_17","REVOKE","sms","0","suppress_and_stop","opt_out","carrier opt-out keyword, whole message"
"opt_out_18","optout","sms","0","suppress_and_stop","opt_out","carrier opt-out keyword, whole message"
"opt_out_19","OPT OUT","sms","0","suppress_and_stop","opt_out","carrier opt-out keyword, whole message"
"opt_out_20","opt-out","sms","0","suppress_and_stop","opt_out","hyphenated variant"
"opt_out_21","remove me","sms","0","suppress_and_stop","opt_out","carrier opt-out keyword, whole message"
"opt_out_22","Remove  Me.","sms","0","suppress_and_stop","opt_out","carrier opt-out keyword, whole message"
"opt_out_23","stop texting me","sms","0","suppress_and_stop","opt_out","imperative stop-verb opening"
"opt_out_24","Please STOP messaging me","sms","0","suppress_and_stop","opt_out","polite imperative still matches"
"opt_out_25","stop contacting me!","sms","0","suppress_and_stop","opt_out","imperative with punctuation"
"opt_out_26","STOP","sms","2","suppress_and_stop","opt_out","opt-out wins even in a looping thread"
"opt_out_27","unsubscribe","email","0","suppress_and_stop","opt_out","opt-out applies on email channel too"
"opt_out_neg_01","stop by our office next week","sms","0","proceed","","an interested prospect; must never suppress"
"opt_out_neg_02","please don't stop sending these","sms","0","proceed","","negation must not match the imperative"
"opt_out_neg_03","I need to cancel my 3pm, can we do 4 instead?","sms","0","proceed","","cancel mid-sentence is not an opt-out"
"opt_out_neg_04","end of quarter numbers look great","sms","0","proceed","","end mid-sentence"
"opt_out_neg_05","quit my last job to start this company","sms","0","proceed","","quit mid-sentence"
"opt_out_neg_06","stopping","sms","0","proceed","","length delta 4 from stop; fuzzy must not reach"
"opt_out_neg_07","and","sms","0","proceed","","distance 1 from end, but 3-letter keywords match exactly only"
"opt_out_neg_08","stab","sms","0","proceed","","two substitutions from stop"
"opt_out_neg_09","xtopy","sms","0","proceed","","length 5, no single edit reaches any keyword"
"legal_01","I'll have my attorney call you","sms","0","human_review","legal_escalation","legal keyword routes to human, never auto-reply"
"legal_02","my lawyer will be in touch","sms","0","human_review","legal_escalation","legal keyword routes to human, never auto-reply"
"legal_03","this is a TCPA violation","sms","0","human_review","legal_escalation","legal keyword routes to human, never auto-reply"
"legal_04","reporting this to the FCC","sms","0","human_review","legal_escalation","legal keyword routes to human, never auto-reply"
"legal_05","I am filing a complaint","sms","0","human_review","legal_escalation","legal keyword routes to human, never auto-reply"
"legal_06","stop harassing me","sms","0","human_review","legal_escalation","legal keyword routes to human, never auto-reply"
"legal_07","this is harassment","sms","0","human_review","legal_escalation","legal keyword routes to human, never auto-reply"
"legal_08","I will sue you","sms","0","human_review","legal_escalation","legal keyword routes to human, never auto-reply"
"legal_09","we sued the last company that did this","sms","0","human_review","legal_escalation","legal keyword routes to human, never auto-reply"
"legal_10","I'm going to report you","sms","0","human_review","legal_escalation","legal keyword routes to human, never auto-reply"
"legal_11","STOP or my lawyer gets involved","sms","0","human_review","legal_escalation","legal keyword routes to human, never auto-reply"
"legal_12","my fucking lawyer will hear about this","sms","0","human_review","legal_escalation","legal precedence over hostility"
"hostility_01","fuck off","sms","0","human_review","hostility","hostile reply routes to human"
"hostility_02","this is bullshit","sms","0","human_review","hostility","hostile reply routes to human"
"hostility_03","screw you","sms","0","human_review","hostility","hostile reply routes to human"
"hostility_04","piss off","sms","0","human_review","hostility","hostile reply routes to human"
"hostility_05","go to hell","sms","0","human_review","hostility","hostile reply routes to human"
"hostility_06","leave me alone","sms","0","human_review","hostility","hostile reply routes to human"
"autoreply_01","Auto-Submitted: auto-replied","email","0","human_review","bounce_or_autoreply","auto-reply marker"
"autoreply_02","X-Autoreply: yes","email","0","human_review","bounce_or_autoreply","auto-reply marker"
"autoreply_03","Automatic reply: Out of Office","email","0","human_review","bounce_or_autoreply","auto-reply marker"
"autoreply_04","I am out of the office until Monday with limited email access","email","0","human_review","bounce_or_autoreply","auto-reply marker"
"autoreply_05","Thank you for your email. I am on vacation until 8/15.","email","0","human_review","bounce_or_autoreply","auto-reply marker"
"autoreply_06","out of office until monday","sms","0","human_review","bounce_or_autoreply","OOO detected on sms too"
"bounce_01","550 5.1.1 The email account that you tried to reach does not exist","email","0","human_review","bounce_or_autoreply","email bounce"
"bounce_02","Delivery Status Notification (Failure)","email","0","human_review","bounce_or_autoreply","email bounce"
"bounce_03","Your message could not be delivered","email","0","human_review","bounce_or_autoreply","email bounce"
"bounce_04","554 mailbox unavailable","email","0","human_review","bounce_or_autoreply","email bounce"
"bounce_05","550 user unknown","email","0","human_review","bounce_or_autoreply","email bounce"
"bounce_06","5.1.1","sms","0","proceed","","DSN codes are email-only; bare numbers in SMS are not bounces"
"loop_01","sounds good, what are the rates?","sms","2","human_review","loop_breaker","2 prior auto-replies force human takeover"
"loop_02","interested, send details","sms","1","proceed","","1 prior auto-reply still proceeds"
"proceed_01","Yes, I'm interested — what are the rates?","sms","0","proceed","","clean interested reply"
"proceed_02","Sounds good, send over the details.","email","0","proceed","","clean email reply"
"proceed_03","","sms","0","proceed","","empty body proceeds"
